Mnemonic,Addr. Mode,Opcode,Orig Cycles,New Cycles,# Bytes,N,V,B,D,I,Z,C,MC Step,Done,Addr_Op,Din_Le,Rd_En,Dout_op,Dint1_Op,Dint2_Op,Dint3_Op,PC_Op,SP_Op,Alu1,Alu2,ALU_OP,A_Le,X_Le,Y_Le,Flag_Op
Default,,,,,,,,,,,,,,nop,nop,nop,nop,nop,nop,nop,nop,nop,nop,a_reg,din,pass1,nop,nop,nop,nop
ADC,ABS,6D,4,5,3,N,V,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,addc,le,,,nvzc
ADC,"ABS,X",7D,4,5,3,N,V,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_x,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,addc,le,,,nvzc
ADC,"ABS,Y",79,4,5,3,N,V,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_y,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,addc,le,,,nvzc
ADC,IMM,69,2,3,2,N,V,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,done,,,,,,,,,,a_reg,din,addc,le,,,nvzc
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
ADC,"(IND,X)",61,6,7,2,N,V,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,din_zxp,en,read,,,, ,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,4,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,en,,,,,,,,,,,,,,
